,Past High Temperature,Past Low Temperature
2012-07-12,86.76,65.84
2012-07-13,90.24,70.42
2012-07-14,86.73,64.14
2012-07-15,80.74,62.61
2012-07-16,76.98,61.48
2012-07-17,76.49,62.64
2012-07-18,84.56,60.3
2012-07-19,92.29,67.9
2012-07-20,90.89,67.34
2012-07-21,90.89,64.75
2012-07-22,88.11,64.25
2012-07-23,82.99,63.11
2012-07-24,83.49,60.61
2012-07-25,81.78,59.43
2012-07-26,80.93,59.5
2012-07-27,81.35,59.17
2012-07-28,84.31,57.85
2012-07-29,84.15,60.06
2012-07-30,83.74,62.26
2012-07-31,84.79,63.62
2012-08-01,86.72,63.4
2012-08-02,85.68,62.56
2012-08-03,81.13,63.94
2012-08-04,81.95,64.62
2012-08-05,88.67,62.57
2012-08-06,97.11,64.89
2012-08-07,96.91,68.91
2012-08-08,98.0,69.91
2012-08-09,98.05,70.32
2012-08-10,97.25,70.61
2012-08-11,98.43,72.96
2012-08-12,99.31,73.78
2012-08-13,96.8,72.52
2012-08-14,95.62,71.11
2012-08-15,90.08,67.67
2012-08-16,95.96,69.68
2012-08-17,98.88,73.62
2012-08-18,94.28,72.85
2012-08-19,94.05,71.21
2012-08-20,92.13,70.46
2012-08-21,87.04,69.16
2012-08-22,85.08,68.42
2012-08-23,81.81,67.64
2012-08-24,83.51,66.95
2012-08-25,81.11,65.1
2012-08-26,84.45,63.6
2012-08-27,93.64,62.51
2012-08-28,96.59,68.75
2012-08-29,95.12,72.85
2012-08-30,94.09,70.88
2012-08-31,90.66,69.52
2012-09-01,90.0,63.94
2012-09-02,91.59,62.6
2012-09-03,92.78,63.79
2012-09-04,96.64,67.31
2012-09-05,85.71,71.45
2012-09-06,88.56,68.28
2012-09-07,88.2,68.21
2012-09-08,91.55,68.38
2012-09-09,95.79,70.31
2012-09-10,90.68,72.34
2012-09-11,81.86,70.22
2012-09-12,84.49,69.0
2012-09-13,93.09,66.62
2012-09-14,103.81,68.33
2012-09-15,102.23,75.55
2012-09-16,89.38,70.3
2012-09-17,85.67,67.1
2012-09-18,87.69,63.1
2012-09-19,89.73,63.66
2012-09-20,94.9,66.06
2012-09-21,93.98,66.09
2012-09-22,94.41,68.65
2012-09-23,96.73,68.68
2012-09-24,87.29,66.5
2012-09-25,80.45,61.89
2012-09-26,81.17,61.71
2012-09-27,86.15,62.23
2012-09-28,89.52,63.58
2012-09-29,90.98,65.37
2012-09-30,98.3,66.41
2012-10-01,102.45,66.77
2012-10-02,99.05,69.16
2012-10-03,87.35,65.56
2012-10-04,80.27,62.18
2012-10-05,78.62,61.05
2012-10-06,81.04,61.59
2012-10-07,80.93,62.79
2012-10-08,78.26,62.04
2012-10-09,75.16,60.18
2012-10-10,72.83,59.49
2012-10-11,67.96,56.08
2012-10-12,70.06,54.19
2012-10-13,76.92,55.83
2012-10-14,92.74,61.29
2012-10-15,92.75,65.83
2012-10-16,93.32,62.87
2012-10-17,97.48,64.98
2012-10-18,79.66,67.01
2012-10-19,78.4,63.05
2012-10-20,70.33,64.51
2012-10-21,71.76,63.29
2012-10-22,69.71,61.48
2012-10-23,70.03,57.71
2012-10-24,72.3,55.01
2012-10-25,79.19,58.65
2012-10-26,85.16,60.92
2012-10-27,90.98,62.0
2012-10-28,87.9,58.93
2012-10-29,86.54,56.65
2012-10-30,81.37,55.66
2012-10-31,74.76,55.51
2012-11-01,70.01,55.69
2012-11-02,72.31,54.83
2012-11-03,81.74,54.16
2012-11-04,90.74,56.43
2012-11-05,93.52,62.48
2012-11-06,84.83,59.6
2012-11-07,74.52,58.54
2012-11-08,65.51,58.04
2012-11-09,62.68,50.02
2012-11-10,61.42,44.78
2012-11-11,66.17,44.53
2012-11-12,73.18,46.65
2012-11-13,82.53,51.84
2012-11-14,78.87,52.99
2012-11-15,67.74,55.34
2012-11-16,69.91,55.9
2012-11-17,65.73,59.02
2012-11-18,67.46,55.49
2012-11-19,69.57,53.02
2012-11-20,72.74,51.87
2012-11-21,69.56,52.85
2012-11-22,74.59,53.56
2012-11-23,82.55,54.9
2012-11-24,86.32,53.06
2012-11-25,69.95,54.87
2012-11-26,67.04,54.01
2012-11-27,70.85,52.31
2012-11-28,66.66,55.0
2012-11-29,62.61,57.5
2012-11-30,64.43,60.27
2012-12-01,64.9,58.85
2012-12-02,64.09,59.59
2012-12-03,67.84,57.71
2012-12-04,68.56,56.29
2012-12-05,67.2,52.61
2012-12-06,67.95,56.35
2012-12-07,69.58,53.99
2012-12-08,67.16,53.13
2012-12-09,68.98,54.38
2012-12-10,74.45,49.75
2012-12-11,71.46,49.09
2012-12-12,59.37,54.48
2012-12-13,59.24,47.64
2012-12-14,56.7,43.28
2012-12-15,59.72,44.1
2012-12-16,55.07,51.59
2012-12-17,62.09,53.08
2012-12-18,59.51,47.28
2012-12-19,59.36,42.13
2012-12-20,65.46,43.52
2012-12-21,64.88,43.47
2012-12-22,61.45,43.67
2012-12-23,61.05,51.88
2012-12-24,61.85,51.55
2012-12-25,60.22,49.8
2012-12-26,60.78,49.05
2012-12-27,60.88,45.59
2012-12-28,61.86,43.05
2012-12-29,51.09,43.97
2012-12-30,54.66,40.31
2012-12-31,58.14,40.86
